spotify_id,created_at,name,description
37i9dQZEVXbMDoHDwVN2tF,2023-02-01 15:47:05.542483,Top 50 - Global,Your daily update of the most played tracks right now - Global.
37i9dQZEVXbMnZEatlMSiu,2023-02-01 15:48:20.722807,Top 50 - Taiwan,Your daily update of the most played tracks right now - Taiwan.
37i9dQZEVXbIVYVBNw9D5K,2023-02-01 15:48:21.594807,Top 50 - Turkey,Your daily update of the most played tracks right now - Turkey.
37i9dQZEVXbLnolsZ8PSNw,2023-02-01 15:48:24.862328,Top 50 - United Kingdom,Your daily update of the most played tracks right now - United Kingdom.
37i9dQZEVXbL3J0k32lWnN,2023-02-01 15:48:25.624483,Top 50 - Denmark,Your daily update of the most played tracks right now - Denmark.
37i9dQZEVXbNFJfN1Vw8d9,2023-02-01 15:48:26.175057,Top 50 - Spain,Your daily update of the most played tracks right now - Spain.
37i9dQZEVXbMxcczTSoGwZ,2023-02-01 15:48:26.981166,Top 50 - Finland,Your daily update of the most played tracks right now - Finland.
37i9dQZEVXbIPWwFssbupI,2023-02-01 15:48:27.608165,Top 50 - France,Your daily update of the most played tracks right now - France.
37i9dQZEVXbKCF6dqVpDkS,2023-02-01 15:48:28.256545,Top 50 - Netherlands,Your daily update of the most played tracks right now - Netherlands.
37i9dQZEVXbJvfa0Yxg7E7,2023-02-01 15:48:28.906083,Top 50 - Norway,Your daily update of the most played tracks right now - Norway.
37i9dQZEVXbLoATJ81JYXz,2023-02-01 15:48:29.520024,Top 50 - Sweden,Your daily update of the most played tracks right now - Sweden.
37i9dQZEVXbLRQDuF5jeBp,2023-02-01 15:48:30.116653,Top 50 - USA,Your daily update of the most played tracks right now - USA.
37i9dQZEVXbKNHh6NIXu36,2023-02-01 15:48:30.714178,Top 50 - Austria,Your daily update of the most played tracks right now - Austria.
37i9dQZEVXbJiyhoAPEfMK,2023-02-01 15:48:31.514926,Top 50 - Switzerland,Your daily update of the most played tracks right now - Switzerland.
37i9dQZEVXbJNSeeHswcKB,2023-02-01 15:48:32.173055,Top 50 - Belgium,Your daily update of the most played tracks right now - Belgium.
37i9dQZEVXbJiZcmkrIHGU,2023-02-01 15:48:32.786982,Top 50 - Germany,Your daily update of the most played tracks right now - Germany.
37i9dQZEVXbM8SIrkERIYl,2023-02-01 15:48:33.491434,Top 50 - New Zealand,Your daily update of the most played tracks right now - New Zealand.
37i9dQZEVXbJPcfkRz0wJ0,2023-02-01 15:48:35.223139,Top 50 - Australia,Your daily update of the most played tracks right now - Australia.
37i9dQZEVXbKM896FDX8L1,2023-02-01 15:48:35.872530,Top 50 - Ireland,Your daily update of the most played tracks right now - Ireland.
37i9dQZEVXbKGcyg6TFGx6,2023-02-01 15:48:36.500463,Top 50 - Luxembourg,Your daily update of the most played tracks right now - Luxembourg.
37i9dQZEVXbIQnj7RRhdSX,2023-02-01 15:48:37.179982,Top 50 - Italy,Your daily update of the most played tracks right now - Italy.
37i9dQZEVXbN6itCcaL3Tt,2023-02-01 15:48:37.852355,Top 50 - Poland,Your daily update of the most played tracks right now - Poland.
37i9dQZEVXbKyJS56d1pgi,2023-02-01 15:48:38.633906,Top 50 - Portugal,Your daily update of the most played tracks right now - Portugal.
37i9dQZEVXbLwpL8TjsxOG,2023-02-01 15:48:39.312875,Top 50 - Hong Kong,Your daily update of the most played tracks right now - Hong Kong.
37i9dQZEVXbJlfUljuZExa,2023-02-01 15:48:39.980486,Top 50 - Malaysia,Your daily update of the most played tracks right now - Malaysia.
37i9dQZEVXbK4gjvS1FjPY,2023-02-01 15:48:40.542361,Top 50 - Singapore,Your daily update of the most played tracks right now - Singapore.
37i9dQZEVXbLesry2Qw2xS,2023-02-01 15:48:41.274360,Top 50 - Estonia,Your daily update of the most played tracks right now - Estonia.
37i9dQZEVXbKMzVsSGQ49S,2023-02-01 15:48:41.931361,Top 50 - Iceland,Your daily update of the most played tracks right now - Iceland.
37i9dQZEVXbMx56Rdq5lwc,2023-02-01 15:48:42.548791,Top 50 - Lithuania,Your daily update of the most played tracks right now - Lithuania.
37i9dQZEVXbJWuzDrTxbKS,2023-02-01 15:48:43.236237,Top 50 - Latvia,Your daily update of the most played tracks right now - Latvia.
37i9dQZEVXbO3qyFxbkOE1,2023-02-01 15:48:43.976021,Top 50 - Mexico,Your daily update of the most played tracks right now - Mexico.
